code,name
EX,ขายต่างประเทศ
PC,จัดซื้อ
PD,ผลิต
Q,เทคโนโลยีคุณภาพ
WH,คลังสินค้า
MA,วิศวกรรม
ISO,บริหารระบบคุณภาพ
SP,ซัพพลายเชน
ACC,การเงินและบัญชี
IN,ขายในประเทศ
RD,วิจัยและพัฒนา
IT,เทคโนโลยีสารสนเทศ
AU,Automation
DD,พัฒนาผลิตภัณฑ์
BL,อาคารและสถานที่
MK,การตลาด
CO,ประสานงานราชการ
MAT,คลังวัตถุดิบ
PD1,ผสมยาง
PD2,ผลิตยางตัน
QA,ตรวจสอบคุณภาพ
QCPD,ควบคุมคุณภาพยางตัน
QAPD,ตรวจสอบคุณภาพยางตัน
QAFST,ตรวจสอบคุณภาพยางตีนตะขาบ
CL,รับประกันสินค้า
MD,แม่พิมพ์
MACH,ซ่อมบำรุงเครื่องกล
MAEL,ซ่อมบำรุงไฟฟ้า
MAPM,ซ่อมบำรุงรักษา
MAST,ระบบและงานเทคนิควิศวกรรม
HR,ทรัพยากรบุคคลและธุรการ
PN,วางแผนการผลิต
ST,คลังพัสดุ
AMS,บริการยานยนต์
UT,Utility
PJ,โครงการ
QCFST,ควบคุมคุณภาพยางตีนตะขาบ
FST,ผลิตยางตีนตะขาบ
SH,Scheduing
MG,บริหาร
CAL,สอบเทียบ
